"species","growthcond","model","m","g0","method","R2","ref"
"Acer buergerianum","","BB",10,0.143,"1, 2",NA,"Bowden and Bauerle (2008)"
"Acer rubrum","","BB",9.5,0.0175,"1, 2",NA,"Harley and Baldocchi (1995)"
"A.<U+2009>rubrum","","BB",9.85,0.03,"1, 2",NA,"Bauerle et al. (2004a)"
"A.<U+2009>rubrum","","BB",5.5,0,"1, 2",NA,"Bauerle et al. (2004b)"
"A.<U+2009>rubrum","","BB",6.2,0.219,"1, 2",NA,"Bowden and Bauerle (2008)"
"A.<U+2009>rubrum","","BB",1.7,0.14,"1,2",NA,"Reynolds et al. (2009)"
"Aegiceras corniculatum","","BB",2.3,0.03,"2",0.69,"Leuning (1995)"
"Amaranthus hypochondriacus","[350], 25<U+2009>°C","BB",18.5,NA,"5",0.8,"Bunce (1998)"
"A.<U+2009>hypochondriacus","[525], 25<U+2009>°C","BB",9.8,NA,"5",0.54,"Bunce (1998)"
"A.<U+2009>hypochondriacus","[700], 25<U+2009>°C","BB",10.6,NA,"5",0.8,"Bunce (1998)"
"A.<U+2009>hypochondriacus","[350], 30<U+2009>°C","BB",9,NA,"5",0.47,"Bunce (1998)"
"A.<U+2009>hypochondriacus","Ambient [CO2], 20<U+2009>°C","BB",9.3,NA,"5",0.83,"Bunce (1998)"
"A.<U+2009>hypochondriacus","Ambient [CO2], 25<U+2009>°C, low photosynthetic photon flux density","BB",5.3,NA,"5",0.26,"Bunce (1998)"
"A.<U+2009>hypochondriacus","Ambient [CO2], 25<U+2009>°C","BB",5.1,NA,"5",0.27,"Bunce (1998)"
"Amaranthus retroflexus","","BB",3.06,0.03,"1, 2, 3, 4",0.95,"Ball (1988)"
"Andropogon gerardii","","BB",4.07,0.0595,"1, 4",0.86,"Chen et al. (1994)"
"A.<U+2009>gerardii","Elevated [CO2]","BB",6.24,0.0533,"1, 4",0.92,"Chen et al. (1994)"
"A.<U+2009>gerardii","Seasonal water stress","BB",4.1,NA,"1, 2",NA,"Polley et al. (1992)"
"Arbutus unedo","","BB",2.2,0.03,"5",0.22,"Leuning (1995)"
"A.<U+2009>unedo","","BB",10,NA,"7",NA,"Harley and Tenhunen (1991)"
"A.<U+2009>unedo","","BB",3.3,0.01,"5",1,"Leuning (1995)"
"Avicennia marina","","BB",2.3,0.02,"2",0.97,"Leuning (1995)"
"A.<U+2009>marina","","BB",4.6,NA,"2",0.87,"Leuning (1995)"
"Betula nigra","","BB",2.5,NA,"1, 2",NA,"Reynolds et al. (2009)"
"Betula pendula","","BB",9.37,0.084,"6",0.15,"Medlyn et al. (2001)"
"B.<U+2009>pendula","Elevated [CO2]","BB",18.62,NA,"6",0.42,"Medlyn et al. (2001)"
