"species","leafage","leafarea","Time","weight","id"
"E. saligna","young",26.163,3,0.7979,1
"E. saligna","young",26.163,6,0.775,1
"E. saligna","young",26.163,9,0.7898,1
"E. saligna","young",26.163,12,0.7831,1
"E. saligna","young",26.163,15,0.7621,1
"E. saligna","young",26.163,18,0.7535,1
"E. saligna","young",26.163,21,0.7432,1
"E. saligna","young",26.163,51,0.7381,1
"E. saligna","young",26.163,81,0.7369,1
"E. saligna","young",26.163,111,0.7309,1
"E. saligna","young",26.163,141,0.7136,1
"E. saligna","young",26.163,171,0.7286,1
"E. saligna","young",26.163,201,0.6828,1
"E. saligna","young",26.163,1440,0.354,1
"E. saligna","old",42.992,3,1.3719,2
"E. saligna","old",42.992,6,1.3306,2
"E. saligna","old",42.992,9,1.2905,2
"E. saligna","old",42.992,12,1.269,2
"E. saligna","old",42.992,15,1.2582,2
"E. saligna","old",42.992,18,1.2502,2
"E. saligna","old",42.992,21,1.2484,2
"E. saligna","old",42.992,51,1.2058,2
"E. saligna","old",42.992,81,1.1752,2
"E. saligna","old",42.992,111,1.1431,2
"E. saligna","old",42.992,141,1.1151,2
"E. saligna","old",42.992,171,1.0887,2
"E. saligna","old",42.992,201,1.064,2
"E. saligna","old",42.992,1440,0.5727,2
"E. saligna","young",8.379,3,0.4233,3
"E. saligna","young",8.379,6,0.4029,3
"E. saligna","young",8.379,9,0.3861,3
"E. saligna","young",8.379,12,0.3821,3
"E. saligna","young",8.379,15,0.382,3
"E. saligna","young",8.379,18,0.3814,3
"E. saligna","young",8.379,21,0.3804,3
"E. saligna","young",8.379,51,0.379,3
"E. saligna","young",8.379,81,0.3708,3
"E. saligna","young",8.379,111,0.3629,3
"E. saligna","young",8.379,141,0.3421,3
"E. saligna","young",8.379,171,0.3708,3
"E. saligna","young",8.379,201,0.3424,3
"E. saligna","young",8.379,1440,0.1512,3
"E. saligna","old",16.969,3,0.3878,4
"E. saligna","old",16.969,6,0.3761,4
"E. saligna","old",16.969,9,0.3643,4
"E. saligna","old",16.969,12,0.352,4
"E. saligna","old",16.969,15,0.352,4
"E. saligna","old",16.969,18,0.3516,4
"E. saligna","old",16.969,21,0.3504,4
"E. saligna","old",16.969,51,0.3335,4
"E. saligna","old",16.969,81,0.3222,4
"E. saligna","old",16.969,111,0.3105,4
"E. saligna","old",16.969,141,0.2998,4
"E. saligna","old",16.969,171,0.2877,4
"E. saligna","old",16.969,201,0.2778,4
"E. saligna","old",16.969,1440,0.2044,4
"E. saligna","young",18.493,3,0.6992,5
"E. saligna","young",18.493,6,0.6613,5
"E. saligna","young",18.493,9,0.6402,5
"E. saligna","young",18.493,12,0.6412,5
"E. saligna","young",18.493,15,0.6357,5
"E. saligna","young",18.493,18,0.6079,5
"E. saligna","young",18.493,21,0.5985,5
"E. saligna","young",18.493,51,0.5755,5
"E. saligna","young",18.493,81,0.5698,5
"E. saligna","young",18.493,111,0.5582,5
"E. saligna","young",18.493,141,0.5246,5
"E. saligna","young",18.493,171,0.5061,5
"E. saligna","young",18.493,201,0.506,5
"E. saligna","young",18.493,1440,0.3092,5
"E. saligna","old",40.197,3,1.6932,6
"E. saligna","old",40.197,6,1.6628,6
"E. saligna","old",40.197,9,1.6713,6
"E. saligna","old",40.197,12,1.624,6
"E. saligna","old",40.197,15,1.5862,6
"E. saligna","old",40.197,18,1.5792,6
"E. saligna","old",40.197,21,1.5706,6
"E. saligna","old",40.197,51,1.56,6
"E. saligna","old",40.197,81,1.5601,6
"E. saligna","old",40.197,111,1.5592,6
"E. saligna","old",40.197,141,1.5461,6
"E. saligna","old",40.197,171,1.5502,6
"E. saligna","old",40.197,201,1.5488,6
"E. saligna","old",40.197,1440,0.6877,6
"E. saligna","young",20.508,3,0.6219,7
"E. saligna","young",20.508,6,0.6071,7
"E. saligna","young",20.508,9,0.6012,7
"E. saligna","young",20.508,12,0.5976,7
"E. saligna","young",20.508,15,0.5962,7
"E. saligna","young",20.508,18,0.5852,7
"E. saligna","young",20.508,21,0.5808,7
"E. saligna","young",20.508,51,0.5782,7
"E. saligna","young",20.508,81,0.5712,7
"E. saligna","young",20.508,111,0.5332,7
"E. saligna","young",20.508,141,0.5201,7
"E. saligna","young",20.508,171,0.5352,7
"E. saligna","young",20.508,201,0.516,7
"E. saligna","young",20.508,1440,0.2496,7
"E. saligna","old",31.831,3,0.8073,8
"E. saligna","old",31.831,6,0.7852,8
"E. saligna","old",31.831,9,0.764,8
"E. saligna","old",31.831,12,0.7495,8
"E. saligna","old",31.831,15,0.7397,8
"E. saligna","old",31.831,18,0.7362,8
"E. saligna","old",31.831,21,0.7337,8
"E. saligna","old",31.831,51,0.7047,8
"E. saligna","old",31.831,81,0.6835,8
"E. saligna","old",31.831,111,0.6651,8
"E. saligna","old",31.831,141,0.6461,8
"E. saligna","old",31.831,171,0.6247,8
"E. saligna","old",31.831,201,0.609,8
