species,PhylogeneticGroup,PlantGrowthForm,LeafType,LeafPhenology,Crop,Woody
Abies lasiocarpa,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Abies sibirica,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Acacia maidenii,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Acacia mangium,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Acer campestre,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Acer pseudoplatanus,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Acer rubrum,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Acer saccharum,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Afrocarpus falcatus,Gymnosperm,tree,broadleaved,evergreen,FALSE,TRUE
Agastachys odorata,Angiosperm,shrub,broadleaved,evergreen,FALSE,TRUE
Agathis robusta,Gymnosperm,tree,broadleaved,evergreen,FALSE,TRUE
Allium ursinum,Angiosperm,herb,broadleaved,,FALSE,FALSE
Araucaria bidwillii,Gymnosperm,tree,scale-shaped,evergreen,FALSE,TRUE
Araucaria cunninghamii,Gymnosperm,tree,scale-shaped,evergreen,FALSE,TRUE
Araucaria heterophylla,Gymnosperm,tree,scale-shaped,evergreen,FALSE,TRUE
Arctostaphylos uva-ursi,Angiosperm,shrub,broadleaved,evergreen,FALSE,TRUE
Asarum europaeum,Angiosperm,herb,broadleaved,,FALSE,FALSE
Athrotaxis selaginoides,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Austrocedrus chilensis,Gymnosperm,tree,scale-shaped,evergreen,FALSE,TRUE
Austrotaxus spicata,Gymnosperm,tree,needleleaved,,FALSE,TRUE
Avena sativa,Angiosperm,graminoid,broadleaved,,TRUE,FALSE
Banksia attenuata,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Banksia ilicifolia,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Banksia littoralis,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Banksia menziesii,Angiosperm,shrub/tree,broadleaved,evergreen,FALSE,TRUE
Banksia prionotes,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Betula papyrifera,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Betula pendula,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Betula pubescens,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Cajanus cajan,Angiosperm,shrub,broadleaved,,FALSE,TRUE
Callitris rhomboidea,Gymnosperm,tree,scale-shaped,evergreen,FALSE,TRUE
Calocedrus decurrens,Gymnosperm,tree,scale-shaped,evergreen,FALSE,TRUE
Caltha palustris,Angiosperm,herb,broadleaved,,FALSE,FALSE
Camellia sasanqua,Angiosperm,shrub,broadleaved,evergreen,FALSE,TRUE
Camellia sinensis,Angiosperm,shrub/tree,broadleaved,evergreen,FALSE,TRUE
Carex curvula,Angiosperm,graminoid,broadleaved,,FALSE,FALSE
Cedrus deodara,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Cephalotaxus fortunei,Gymnosperm,shrub/tree,needleleaved,evergreen,FALSE,TRUE
Cercocarpus betuloides,Angiosperm,shrub,broadleaved,evergreen,FALSE,TRUE
Comarostaphylis diversifolia,Angiosperm,shrub,broadleaved,evergreen,FALSE,TRUE
Convolvulus arvensis,Angiosperm,herb,broadleaved,,FALSE,FALSE
Coronilla varia,Angiosperm,herb,broadleaved,,FALSE,FALSE
Corylus avellana,Angiosperm,shrub/tree,broadleaved,deciduous,FALSE,TRUE
Cunninghamia lanceolata,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Cupressus cashmeriana,Gymnosperm,tree,scale-shaped,evergreen,FALSE,TRUE
Dacrycarpus dacrydioides,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Digitaria californica,Angiosperm,graminoid,broadleaved,,FALSE,FALSE
Diplotaxis tenuifolia,Angiosperm,herb,broadleaved,,FALSE,FALSE
Diselma archeri,Gymnosperm,shrub/tree,scale-shaped/needleleaved,evergreen,FALSE,TRUE
Epilobium hirsutum,Angiosperm,herb,broadleaved,,FALSE,FALSE
Eragrostis lehmanniana,Angiosperm,graminoid,broadleaved,,FALSE,FALSE
Eriophorum angustifolium,Angiosperm,graminoid,broadleaved,,FALSE,FALSE
Eucalyptus arenacea,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Eucalyptus cladocalyx,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Eucalyptus delegatensis,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Eucalyptus nitens,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Eucalyptus parramattensis,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Eucalyptus regnans,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Eucalyptus saligna,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Eucalyptus sideroxylon,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Eucalyptus socialis,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Fagus sylvatica,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Festuca arundinacea,Angiosperm,graminoid,broadleaved,,FALSE,FALSE
Festuca halleri,Angiosperm,graminoid,broadleaved,,FALSE,FALSE
Filipendula ulmaria,Angiosperm,herb,broadleaved,,FALSE,FALSE
Fokienia hodginsii,Gymnosperm,tree,scale-shaped,evergreen,FALSE,TRUE
Fraxinus excelsior,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Geranium sanguineum,Angiosperm,herb,broadleaved,,FALSE,FALSE
Glycine argyrea,Angiosperm,herb,broadleaved,,TRUE,FALSE
Glycine canescens,Angiosperm,herb,broadleaved,evergreen,TRUE,FALSE
Glycine clandestina,Angiosperm,herb,broadleaved,,TRUE,FALSE
Glycine latifolia,Angiosperm,herb,broadleaved,,TRUE,FALSE
Glycine max,Angiosperm,herb,broadleaved,,TRUE,FALSE
Glycine soja,Angiosperm,herb,broadleaved,,TRUE,FALSE
Glycine tabacina,Angiosperm,herb,broadleaved,,TRUE,FALSE
Glycine tomentella,Angiosperm,herb,broadleaved,evergreen,TRUE,FALSE
Glyptostrobus pensilis,Gymnosperm,tree,needleleaved,deciduous,FALSE,TRUE
hakea cinerea,Angiosperm,shrub,,evergreen,FALSE,TRUE
hakea dactyloides,Angiosperm,shrub,,evergreen,FALSE,TRUE
hakea elliptica,Angiosperm,shrub,,evergreen,FALSE,TRUE
hakea leucoptera,Angiosperm,shrub,,evergreen,FALSE,TRUE
hakea lorea,Angiosperm,shrub,,evergreen,FALSE,TRUE
hakea megadenia,Angiosperm,shrub,,evergreen,FALSE,TRUE
hakea petiolaris,Angiosperm,shrub,,evergreen,FALSE,TRUE
hakea propinqua,Angiosperm,shrub,,evergreen,FALSE,TRUE
hakea prostrata,Angiosperm,shrub,,evergreen,FALSE,TRUE
hakea salicifolia,Angiosperm,shrub,,evergreen,FALSE,TRUE
hakea sericea,Angiosperm,shrub,,evergreen,FALSE,TRUE
hakea teretifolia,Angiosperm,shrub,,evergreen,FALSE,TRUE
hakea varia,Angiosperm,shrub,,evergreen,FALSE,TRUE
Hedera canariensis,Angiosperm,shrub,broadleaved,deciduous,FALSE,TRUE
Hedera helix,Angiosperm,shrub,broadleaved,evergreen,FALSE,TRUE
Helianthemum apenninum,Angiosperm,herb/shrub,broadleaved,evergreen,FALSE,TRUE
Helianthus annuus,Angiosperm,herb,broadleaved,,FALSE,FALSE
Hesperocyparis macrocarpa,Gymnosperm,tree,scale-shaped,evergreen,FALSE,TRUE
Heteromeles arbutifolia,Angiosperm,shrub,broadleaved,evergreen,FALSE,TRUE
Hippocrepis comosa,Angiosperm,shrub,broadleaved,,FALSE,TRUE
Ilex aquifolium,Angiosperm,shrub/tree,broadleaved,evergreen,FALSE,TRUE
Impatiens noli tangere,Angiosperm,herb,broadleaved,,FALSE,FALSE
Impatiens parviflora,Angiosperm,herb,broadleaved,,FALSE,FALSE
Juglans regia,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Juniperus chinensis,Gymnosperm,shrub/tree,scale-shaped,evergreen,FALSE,TRUE
Juniperus oxycedrus,Gymnosperm,shrub/tree,needleleaved,evergreen,FALSE,TRUE
Laburnum anagyroides,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Lagarostrobus franklinii,Gymnosperm,tree,scale-shaped,evergreen,FALSE,TRUE
Lantana camara,Angiosperm,shrub,broadleaved,,FALSE,TRUE
Larix kaempferi,Gymnosperm,tree,needleleaved,deciduous,FALSE,TRUE
Ligustrum vulgare,Angiosperm,shrub,broadleaved,deciduous,FALSE,TRUE
Magnolia grandiflora,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Metasequoia glyptostroboides,Gymnosperm,tree,needleleaved,deciduous,FALSE,TRUE
Microbiota decussata,Gymnosperm,shrub,scale-shaped,,FALSE,TRUE
Molinia caerulea,Angiosperm,graminoid,broadleaved,,FALSE,FALSE
Opuntia camanchica,Angiosperm,cactus,broadleaved,,FALSE,FALSE
Oryza glaberrima,Angiosperm,graminoid,broadleaved,,TRUE,FALSE
Oryza sativa,Angiosperm,graminoid,broadleaved,,TRUE,FALSE
Oryza sativa x O. glaberrima,Angiosperm,graminoid,broadleaved,,TRUE,FALSE
Oxalis acetosella,Angiosperm,herb,broadleaved,,FALSE,FALSE
Oxytropis pilosa,Angiosperm,herb,broadleaved,,FALSE,FALSE
Paeonia officinalis,Angiosperm,herb,broadleaved,,FALSE,FALSE
Papuacedrus papuana,Gymnosperm,shrub/tree,scale-shaped/needleleaved,evergreen,FALSE,TRUE
Pennisetum americanum,Angiosperm,graminoid,broadleaved,,FALSE,FALSE
Peucedanum cervaria,Angiosperm,herb,broadleaved,,FALSE,FALSE
Phalaris arundinacea,Angiosperm,graminoid,broadleaved,,FALSE,FALSE
Phyllitis scolopendrium,Pteridophytes,fern,broadleaved,evergreen,FALSE,FALSE
Phyllocladus trichomanoides,Gymnosperm,tree,broadleaved,evergreen,FALSE,TRUE
Picea abies,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Picea excelsa,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Picea sitchensis,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Pilgerodendron uviferum,Gymnosperm,tree,scale-shaped,evergreen,FALSE,TRUE
Pinus cembra,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Pinus engelmannii,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Pinus halepensis,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Pinus radiata,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Pinus sylvestris,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Pistacia lentiscus,Angiosperm,shrub/tree,broadleaved,evergreen,FALSE,TRUE
Plantago lanceolata,Angiosperm,herb,broadleaved,,FALSE,FALSE
Platanus racemosa,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Platycladus orientalis,Gymnosperm,tree,scale-shaped,evergreen,FALSE,TRUE
Podocarpus drouynianus,Gymnosperm,tree,broadleaved,evergreen,FALSE,TRUE
Prenanthes purpurea,Angiosperm,herb,broadleaved,,FALSE,FALSE
Prumnopitys ladei,Gymnosperm,tree,broadleaved,evergreen,FALSE,TRUE
Prunus avium,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Pulmonaria officinalis,Angiosperm,herb,broadleaved,,FALSE,FALSE
Pulsatilla vulgaris,Angiosperm,herb,broadleaved,,FALSE,FALSE
Quercus agrifolia,Angiosperm,shrub/tree,broadleaved,evergreen,FALSE,TRUE
Quercus coccifera,Angiosperm,shrub/tree,broadleaved,evergreen,FALSE,TRUE
Quercus macrocarpa,Angiosperm,shrub/tree,broadleaved,deciduous,FALSE,TRUE
Quercus muehlenbergii,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Quercus oleoides,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Quercus petraea,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Quercus robur,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Quercus rubra,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Quercus virginiana,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Rhododendron ferrugineum,Angiosperm,shrub,broadleaved,evergreen,FALSE,TRUE
Rumex acetosa,Angiosperm,herb,broadleaved,,FALSE,FALSE
Ruta graveolens,Angiosperm,herb,broadleaved,,FALSE,FALSE
Sabal palmetto,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Salvia pratensis,Angiosperm,herb,broadleaved,,FALSE,FALSE
Sanguisorba minor,Angiosperm,herb,broadleaved,,FALSE,FALSE
Saxegothaea conspicua,Gymnosperm,tree,broadleaved,evergreen,FALSE,TRUE
Sciadopitys verticillata,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Sedum maximum,Angiosperm,herb,broadleaved,,FALSE,FALSE
Sequoiadendron giganteum,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Sesleria albicans,Angiosperm,graminoid,broadleaved,,FALSE,FALSE
Sorghum bicolor,Angiosperm,graminoid,broadleaved,,TRUE,FALSE
Stachys recta,Angiosperm,herb,broadleaved,,FALSE,FALSE
Stellaria nemorum,Angiosperm,herb,broadleaved,,FALSE,FALSE
Taxus baccata,Gymnosperm,shrub/tree,needleleaved,evergreen,FALSE,TRUE
Teucrium chamaedrys,Angiosperm,shrub,broadleaved,evergreen,FALSE,TRUE
Theobroma cacao,Angiosperm,tree,broadleaved,evergreen,FALSE,TRUE
Thuja occidentalis,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Thujopsis dolabrata,Gymnosperm,tree,scale-shaped,evergreen,FALSE,TRUE
Tilia cordata,Angiosperm,tree,broadleaved,deciduous,FALSE,TRUE
Triticum aestivum,Angiosperm,graminoid,broadleaved,,TRUE,FALSE
Triticum turgidum var. durum,Angiosperm,graminoid,broadleaved,,TRUE,FALSE
Triticum vulgaris,Angiosperm,graminoid,broadleaved,,TRUE,FALSE
Tsuga heterophylla,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Vaccinium myrtillus,Angiosperm,shrub,broadleaved,deciduous,FALSE,TRUE
Vaccinium uliginosum,Angiosperm,shrub,broadleaved,deciduous,FALSE,TRUE
Veronica beccabunga,Angiosperm,herb,broadleaved,,FALSE,FALSE
Vicia sepum,Angiosperm,herb,broadleaved,,FALSE,FALSE
Vigna mungo,Angiosperm,herb,broadleaved,,FALSE,FALSE
Vigna unguiculata,Angiosperm,herb,broadleaved,,FALSE,FALSE
Vitis labrusca,Angiosperm,shrub,broadleaved,deciduous,FALSE,TRUE
Widdringtonia cedarbergensis,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Wollemia nobilis,Gymnosperm,tree,needleleaved,evergreen,FALSE,TRUE
Zea mays,Angiosperm,graminoid,broadleaved,,TRUE,FALSE
