gnight,method
8,Li1600
11,ssp
77,ssp
14.9,ssp
42.57,dp
50,Li6400
30.1,Li6400
40.75,Li6400
142,Li6400
113,ssp
161,wg
236,wg
116,wg
194,wg
231,wg
161,wg
187,wg
120,wg
214,wg
154,wg
293,wg
169,wg
199,wg
241,wg
12,wg
24,Li1600
47,Li6400
30,ge
12,Li6400
15,Li6400
28,Li6400
1126,IRGA
51.24,dp
170,Li6400
90,ge
81,ssp
54,Li6400
54.3,Li6400
61,IRGA
61.78,dp
0.6,Li1600
26.58,dp
450,Li6400
230,Li6400
22,ssp
18,ssp
17,ssp
2.6,ssp
5,Li6400
2,Li6400
35,Li6400
43,Li6400
27,Li6400
31,Li6400
29,ssp
12,Li6400
27,ssp
104,sap flow
54,Li6400
33,Li6400
50,Li6400
20,Li6400
120,ssp
29,ssp
30,Li6400
65,Li6400
12,Li6400
53,ssp
76,ssp
124,Li6400
1,ssp
22,Li1600
80,dp
140,dp
13,ssp
100,Li6400
124,Li6400
166,Li6400
83,Li6400
225,Li6400
121,Li6400
0,Li6400
28,Li6400
30,dp
8.7,Li1600
54.4,Li1600
59,IRGA
42,Li1600
9.3,Li6400
33,Li6400
87,Li6400
22,Li1600
44,Li1600
378,Li6400
37,Li1600
50,dp
160,IRGA
60,Li6400
40,ge
55,ssp
60,ssp
1862,IRGA
6,Li1600
10,
10,Li1600
4,Li6400
15,Li6400
9,Li6400
25.05,Li1600
80,gas exchange
13,ge
349,Li6400
188,Li6400
308,Li6400
153,Li6400
230,ssp
29,Li1600
95,Li6400
41,Li6400
158,ssp
20.2,Li6400
9.5,Li1600
9.2,Li6400
17.4,Li6400
9.9,Li6400
11,Li6400
40,Li6400
5.8,Li6400
15,Li6400
40,Li1600
240,Li6400
21,Li1600
18,Li1600
37,Li6400
100,ssp
50,ge
79,Li6400
60,Li6400
390,Li6400
33,Li6400
170,Li1600
230,ge
75,ssp
35,Li6400
10,Li1600
1,ssp
12.9,ssp
20,Li1600
11,Li1600
34.75,Li1600
80,Li6400
36.7,Li6400
23.3,Li6400
11.3,Li6400
23,Li6400
8.9,Li6400
9.7,Li6400
13.8,Li6400
16.5,Li6400
11,Li6400
