code,species,population,treatment,transpiration,lma,gmin,
5,hakea leucoptera,broken hill,d,0.105227007,669.7204882,2.892845586,
9,hakea petiolaris,perth,w,0.022286165,190.3377079,2.22535908,
10,hakea petiolaris,perth,w,0.042136987,213.69878,2.316815841,
12,hakea sericea,richmond,d,0.295398337,425.6966324,4.060467935,
15,hakea sericea,richmond,d,0.275963983,347.0871948,3.793328421,
22,hakea dactyloides,barrier mountain,d,0.061032089,177.1033045,3.355724277,
23,hakea dactyloides,barrier mountain,d,0.038793416,181.4063135,2.132976436,
29,hakea dactyloides,woodford,d,0.051038636,134.032057,2.806254758,
30,hakea dactyloides,woodford,w,0.059876035,151.4803812,3.292160999,
35,hakea propinqua,blue mountains,w,1.263225907,464.5273754,8.681985741,
36,hakea propinqua,blue mountains,w,1.435767883,475.0864278,9.867844074,
37,hakea salicifolia,angustifolia,w,0.156389633,202.3789589,8.598763265,
38,hakea salicifolia,angustifolia,d,0.051812205,153.4367039,2.848787836,
40,hakea leucoptera,wilcannia,w,0.236978456,583.2369669,6.514887207,
41,hakea prostrata,inland,w,0.132292238,200.7489959,6.061514511,
42,hakea prostrata,inland,d,0.023698459,198.6326978,1.303011157,
43,hakea megadenia,Friendly beaches Tasmania,w,0.795653788,499.7735938,7.291231974,
51,hakea leucoptera,broken hill,d,0.112388746,715.3326654,3.089732347,
53,hakea leucoptera,wilcannia,w,0.598929745,598.294476,8.232730945,
54,hakea leucoptera,toorale,d,0.059227795,540.9770588,2.171012579,
55,hakea leucoptera,toorale,d,0.082478007,504.5521229,3.023256063,
56,hakea petiolaris,perth,w,0.03997378,215.4140382,2.197876341,
58,hakea sericea,richmond,d,0.315829577,432.0303568,4.341310394,
63,hakea lorea,western australia,w,0.230610442,442.4845346,8.453094822,
64,hakea dactyloides,barrier mountain,d,0.04032666,180.3662,2.217278698,
70,hakea leucoptera,tibooburra,d,0.177394444,632.928026,4.876834846,
71,hakea leucoptera,tibooburra,d,0.123694471,628.32974,3.400543415,
77,hakea dactyloides,woodford,d,0.031210049,148.195362,1.71602053,
78,hakea dactyloides,woodford,d,0.038825548,139.23685,2.134743128,
83,hakea salicifolia,angustifolia,w,0.081246556,180.9816361,4.467175266,
87,hakea prostrata,inland,d,0.022492487,195.0701908,1.236703285,
88,hakea prostrata,inland,w,0.107214605,198.9870456,4.912479321,
98,hakea leucoptera,toorale,d,0.062365889,515.329874,2.286040355,
103,hakea petiolaris,perth,d,0.013972209,171.416886,0.768233249,
104,hakea petiolaris,perth,d,0.021235896,169.3655687,0.898163244,
108,hakea lorea,western australia,d,0.124993386,600.7273159,4.908932154,
109,hakea lorea,western australia,d,0.149042141,614.5167496,5.853411755,
110,hakea lorea,western australia,d,0.133265548,605.236984,5.233809177,
117,hakea leucoptera,tibooburra,d,0.111180926,635.1666666,3.056527617,
126,hakea propinqua,blue mountains,d,0.180936582,552.0813809,6.632284617,
127,hakea propinqua,blue mountains,d,0.10575982,534.2896539,3.876657888,
132,hakea prostrata,west,w,0.152662916,214.9511301,6.994881121,
133,hakea prostrata,west,w,0.073945593,194.2022876,4.065746791,
137,hakea teretifolia,blue mountains,w,0.390654,482.1424422,7.159769678,
141,hakea leucoptera,toorale,w,0.498932685,601.2366327,6.858197617,
143,hakea leucoptera,wilcannia,d,0.176744164,597.8105001,4.858957704,
148,hakea petiolaris,perth,d,0.032841334,167.5899526,1.28979528,
149,hakea sericea,richmond,w,1.097696,361.7854611,7.544320432,
151,hakea sericea,richmond,w,1.085321482,377.3654724,7.459271993,
153,hakea lorea,western australia,w,0.123695487,523.3565465,6.801142682,
154,hakea lorea,western australia,w,0.173803763,586.7287666,7.963536222,
155,hakea dactyloides,barrier mountain,w,0.073878523,152.7170287,4.062059072,
156,hakea dactyloides,barrier mountain,w,0.084222351,163.289,4.630793255,
158,hakea dactyloides,barrier mountain,w,0.122607373,181.2608755,6.741314989,
170,hakea propinqua,blue mountains,d,0.112569875,540.236987,4.126282469,
172,hakea leucoptera,wilcannia,w,0.196565332,530.6303623,5.403870836,
176,hakea prostrata,west,d,0.118177721,143.1607455,3.248879824,
177,hakea prostrata,west,d,0.069644789,140.3369487,3.82927591,
178,hakea megadenia,Friendly beaches Tasmania,w,0.892367445,512.3699784,8.177498984,
183,hakea leucoptera,broken hill,w,0.279565563,330.2535208,5.123779716,
184,hakea leucoptera,broken hill,w,0.56326989,370.3258963,4.424319966,
195,hakea sericea,richmond,w,0.999865739,409.6007992,6.871945895,
203,hakea leucoptera,tibooburra,w,0.500867667,802.328504,6.884795372,
204,hakea leucoptera,tibooburra,w,0.79361418,660.5409545,6.233606883,
206,hakea leucoptera,tibooburra,w,0.635998737,715.3365479,6.993817248,
209,hakea dactyloides,woodford,w,0.054327494,149.2364,2.987085866,
