species,population,bio12,leaf form
hakea cinerea,scaddan,524,broad
hakea dactyloides,barrier mountain,1976,broad
hakea dactyloides,blue mountains,1183,broad
hakea dactyloides,woodford,1404.5,broad
hakea elliptica,albany,926.9,broad
hakea leucoptera,binya,446,needle
hakea leucoptera,broken hill,260.4,needle
hakea leucoptera,mildura,279,needle
hakea leucoptera,tibooburra,204.1,needle
hakea leucoptera,toorale,314,needle
hakea leucoptera,wilcannia,249,needle
hakea lorea,western australia,216,needle
hakea megadenia,Friendly beaches Tasmania,629.5,needle
hakea petiolaris,perth,955,broad
hakea propinqua,blue mountains,1183,needle
hakea prostrata,inland,335,broad
hakea prostrata,west,713,broad
hakea salicifolia,angustifolia,1084.5,broad
hakea salicifolia,saligna,1359,broad
hakea sericea,richmond,801,needle
hakea teretifolia,blue mountains,1183,needle
hakea varia,wanneroo,734.5,broad
