,mmol/s/m2,mmol/s/m2,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,,Kg,Kg,%,%,%,%,Kg,Kg,Kg,Kg,Kg,Kg,Kg,Kg
Days, E, g_leaf, P_leaf_symplasmic,  P_leaf_apoplasmic, P_branch_s, P_branch_a, P_trunk_s, P_trunk_a, P_root_s, P_root_a, P_soil, REW, Q_H20_plant, DQ_soil, PLC_leaf, PLC_branch, PLC_trunk, PLC_root, Q_H20_leaf_s, Q_leaf_a, Q_branch_s, Q_branch_a, Q_trunk_s, Q_trunk_a, Q_root_s, Q_root_a
0.65,1.006184,108.5874,-0.6860516,-0.3986338,-0.2974778,-0.2974838,-0.2469231,-0.2469629,-0.1460119,-0.1964774,-0.002350843,0.952553,0.2093662,0.341282,0.547141,0.4473809,0.4045589,0.365847,0.03469449,0.01245247,0.01128552,0.006649342,0.06809821,0.039917,0.02295734,0.01331183
1.65,1.006381,108.6133,-0.6896029,-0.4021342,-0.3009559,-0.300963,-0.2503884,-0.2504312,-0.1494624,-0.1999368,-0.005780665,0.8843493,0.2093094,0.8339613,0.5509638,0.4504903,0.4073635,0.3683777,0.03468017,0.01245191,0.01128109,0.006649088,0.06807166,0.0399156,0.02294849,0.0133114
2.65,1.006559,108.6386,-0.6942709,-0.4067584,-0.3055586,-0.3055664,-0.2549778,-0.2550254,-0.1540418,-0.2045235,-0.01034567,0.8160781,0.2092343,1.327172,0.5560544,0.4546382,0.4111084,0.3717598,0.03466136,0.01245116,0.01127522,0.006648751,0.0680365,0.03991374,0.02293675,0.01331083
3.65,1.003517,108.3163,-0.6989194,-0.412244,-0.311335,-0.3113407,-0.2609087,-0.260943,-0.1602371,-0.2105799,-0.01694135,0.7477351,0.2091424,1.820853,0.5621542,0.4598946,0.4159824,0.3762732,0.03464263,0.01245026,0.01126787,0.006648324,0.06799107,0.03991132,0.02292087,0.01331007
4.65,0.9981271,107.7429,-0.7053363,-0.4202103,-0.3198361,-0.319843,-0.269671,-0.2697147,-0.1695544,-0.2196242,-0.02704848,0.6793573,0.209008,2.314725,0.5711309,0.4677452,0.4233134,0.3831151,0.03461678,0.01244894,0.01125704,0.006647688,0.06792398,0.03990769,0.022897,0.01330892
5.65,0.9892954,106.8029,-0.7156833,-0.433096,-0.333598,-0.3336078,-0.2838602,-0.2839204,-0.184655,-0.2342772,-0.04343293,0.610985,0.2087904,2.808242,0.5859538,0.4807381,0.4354597,0.394464,0.03457512,0.01244677,0.01123952,0.00664664,0.06781538,0.0399017,0.02285832,0.01330702
6.65,0.9739826,105.1724,-0.7334452,-0.4552602,-0.3572813,-0.3572967,-0.3082828,-0.3083738,-0.210662,-0.2595073,-0.07163835,0.5427815,0.2084158,3.300246,0.61235,0.5039448,0.4571861,0.4147946,0.03450364,0.01244292,0.01120939,0.006644779,0.06762859,0.03989106,0.02279177,0.01330364
7.65,0.9456924,102.1581,-0.766095,-0.4960462,-0.4008731,-0.4008983,-0.3532372,-0.3533893,-0.2585521,-0.3059596,-0.1234799,0.475106,0.207725,3.78795,0.6640485,0.5496117,0.5000415,0.4549941,0.03437239,0.01243545,0.011154,0.006641158,0.06728525,0.03987035,0.02266938,0.01329704
8.65,0.8898809,96.20439,-0.8304695,-0.5764757,-0.486836,-0.4868834,-0.4418827,-0.4421621,-0.3530017,-0.3975697,-0.2251583,0.4088704,0.2063574,4.264133,0.779036,0.6520691,0.5966116,0.5459843,0.03411417,0.01241909,0.01104508,0.006633193,0.06661004,0.03982468,0.0224287,0.01328249
9.65,0.7755245,83.97691,-0.9629824,-0.7418752,-0.6635602,-0.6636515,-0.6241059,-0.6246356,-0.5470886,-0.5858479,-0.4312486,0.3466087,0.2035146,4.709419,1.081183,0.9260506,0.8571302,0.7936584,0.03358503,0.01237727,0.01082237,0.006612606,0.06522981,0.03970607,0.02193698,0.01324451
10.65,0.5633663,61.18916,-1.211805,-1.051583,-0.9942338,-0.9942657,-0.965077,-0.9659074,-0.9097301,-0.9377814,-0.8081041,0.2948271,0.1980025,5.077724,1.990215,1.778921,1.682096,1.591603,0.03260041,0.01225619,0.0104103,0.006551479,0.0626765,0.03934957,0.02102912,0.01312898
11.65,0.3036604,33.10718,-1.522311,-1.43623,-1.404669,-1.404824,-1.388468,-1.389229,-1.358845,-1.374014,-1.276879,0.2624477,0.1904488,5.311609,4.198751,3.95323,3.836531,3.725773,0.03138894,0.0119714,0.009907807,0.006401506,0.05956296,0.03845661,0.01992593,0.01283367
