,mmol/s/m2,mmol/s/m2,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,,Kg,Kg,%,%,%,%,Kg,Kg,Kg,Kg,Kg,Kg,Kg,Kg
Days, E, g_leaf, P_leaf_s,  P_leaf_a, P_branch_s, P_branch_a, P_trunk_s, P_trunk_a, P_root_s, P_root_a, P_soil, REW, Q_plant, DQ_soil, PLC_leaf, PLC_branch, PLC_trunk, PLC_root, Q_leaf_s, Q_leaf_a, Q_branch_s, Q_branch_a, Q_trunk_s, Q_trunk_a, Q_root_s, Q_root_a
0.65,1.006184,108.5874,-0.6860516,-0.3986338,-0.2974778,-0.2974838,-0.2469231,-0.2469629,-0.1460119,-0.1964774,-0.002350843,0.952553,0.2093662,0.341282,0.547141,0.4473809,0.4045589,0.365847,0.03469449,0.01245247,0.01128552,0.006649342,0.06809821,0.039917,0.02295734,0.01331183
1.65,1.006381,108.6133,-0.6896029,-0.4021342,-0.3009559,-0.300963,-0.2503884,-0.2504312,-0.1494624,-0.1999368,-0.005780665,0.8843493,0.2093094,0.8339613,0.5509638,0.4504903,0.4073635,0.3683777,0.03468017,0.01245191,0.01128109,0.006649088,0.06807166,0.0399156,0.02294849,0.0133114
2.65,1.006559,108.6386,-0.6942709,-0.4067584,-0.3055586,-0.3055664,-0.2549778,-0.2550254,-0.1540418,-0.2045235,-0.01034567,0.8160781,0.2092343,1.327172,0.5560544,0.4546382,0.4111084,0.3717598,0.03466136,0.01245116,0.01127522,0.006648751,0.0680365,0.03991374,0.02293675,0.01331083
3.65,1.006708,108.6634,-0.700943,-0.4133976,-0.3121775,-0.3121869,-0.2615824,-0.2616373,-0.1606432,-0.21113,-0.01694192,0.74773,0.2091264,1.820888,0.5634453,0.46067,0.416558,0.3766858,0.03463448,0.01245007,0.01126679,0.006648261,0.06798591,0.03991103,0.02291983,0.01331
4.65,1.004885,108.4784,-0.7099391,-0.4228833,-0.3218265,-0.3218332,-0.2713204,-0.2713651,-0.1705263,-0.2209351,-0.02705681,0.6793118,0.2089704,2.315051,0.5741748,0.4696024,0.424707,0.3841171,0.03459824,0.01244849,0.0112545,0.006647538,0.06791135,0.039907,0.02289451,0.01330875
5.65,0.9960793,107.5414,-0.7203408,-0.435816,-0.3356326,-0.3356425,-0.2855526,-0.2856135,-0.1856663,-0.2356292,-0.04347615,0.6108441,0.208752,2.809256,0.5891311,0.4826889,0.4369302,0.3955278,0.03455637,0.0124463,0.01123693,0.006646483,0.06780243,0.03990097,0.02285573,0.01330684
6.65,0.9807846,105.913,-0.7382266,-0.4580994,-0.3594329,-0.3594483,-0.310091,-0.3101829,-0.2117878,-0.2609744,-0.07179359,0.5424973,0.2083754,3.302289,0.6158154,0.5061071,0.4588358,0.4160085,0.0344844,0.01244242,0.01120665,0.006644606,0.06761477,0.03989026,0.02278889,0.01330343
7.65,0.9524476,102.8942,-0.7711955,-0.4992189,-0.403362,-0.403388,-0.355384,-0.3555381,-0.2600229,-0.3077694,-0.1239847,0.4746243,0.2076791,3.791405,0.6682473,0.5523396,0.5021843,0.4566364,0.0343519,0.01243485,0.01115084,0.006640943,0.06726887,0.03986932,0.02266563,0.01329678
8.65,0.8963062,96.90612,-0.836476,-0.5806517,-0.4903588,-0.4904055,-0.4450774,-0.4453621,-0.3555577,-0.4004464,-0.2267726,0.4081298,0.2062946,4.269415,0.7855174,0.6566502,0.6004188,0.549118,0.03409012,0.01241818,0.01104062,0.006632841,0.06658575,0.0398229,0.02242219,0.01328199
