species,gmin
Abies alba,140
Acer pseudoplatanus,23
Aechmea fasciata,4.2
Allium cepa,19
Anthurium brownii,1.15
Anthurium salviniae,0.68
Aspasia principissa,0.46
Betula pubescens,10
Camella sinensis,4.68
Camella sinensis,5.78
Caularthron bilamellatum,1.13
Citrus aurantium,5.55
Citrus aurantium,7.1
Citrus aurantium,9.52
Citrus aurantium,12
Citrus aurantium,13
Citrus aurantium,15
Citrus aurantium,28
Citrus aurantium,36
Citrus aurantium,45
Citrus aurantium,47
Citrus aurantium,60
Citrus aurantium,69
Citrus limon,20.4
Clivia miniata,0.48
Clivia miniata,1.1
Clivia miniata,5.1
Clivia miniata,6.81
Clusia flava,2.02
Clusia uvitana,4.87
Clusia uvitana,13.7
Coffea arabica,2.2
Corynocarpus laevigatus,4.97
Cydonia oblongata,10.1
Cydonia oblongata,27.3
Epidendrum nocturnum,1.77
Euonymus japonica,7.92
Euonymus japonica,15.5
Fagus sylvatica,37
Ficus benjamina,5.64
Ficus elastica,146
Ficus elastica,1.8
Ficus elastica,3.95
Ficus elastica,4.07
Ficus elastica,4.3
Forsythia intermedia,8.62
Forsythia suspensa,16.8
Ginkgo biloba,22.6
Garcinia spicata,6.38
Hedera helix,0.74
Hedera helix,2.17
Hedera helix,2.47
Hedera helix,2.7
Hedera helix,3.1
Hedera helix,4.3
Hedera helix,5.6
Ilex aquifolium,8
Ilex aquifolium,11
Juglans regia,19.9
Ligustrum vulgare,18.8
Liriodendron tulipifera,18.2
Maianthemum bifolium,48.1
Maianthemum bifolium,77
Monstera deliciosa,1.86
Monstera deliciosa,2.43
Nerium oleander,3.3
Nerium oleander,4
Nerium oleander,22.6
Notylia pentachne,127
Olea europaea,5.46
Oncidium ampliatum,0.95
Peperomia cordulata,4.61
Philodendron ilsemanii,1.04
Philodendron radiatum,1.18
Philodendron selloum,2.86
Philodendron tripartitum,1.12
Polygonatum multiflorum,72
Polystachya foliosa,6.07
Potamogeton lucens,110000
Prunus avium,5.9
Prunus laurocerasus,5.77
Prunus laurocerasus,17
Pyrus communis,6.34
Pyrus communis,8.29
Pyrus communis,12
Pyrus communis,21
Pyrus communis,67
Schefflera actinophylla,0.82
Sobralia fenzliana,2.66
Sobralia suaveolens,1.69
Stephanotis floribunda,33
Trichopilia maculata,2.17
Vanilla planifolia,0.36
Vanilla planifolia,0.74
Vinca minor,7.5
