parameter,value
gmin,0.84
gmin,1.27
gmin,2.93
gmin,4.19
gmin,8.05
gmin,8.17
gmin,1.2
gmin,3
gmin,1.25
gmin,3.5
p,0.93
gmin,1.13
gmin,2.1
gmin,2.15
gmin,1.75
gmin,2.1
gmin,0.25
gmin,1.75
gmin,3.52
gmin,0.11
p,0.05
p,0.03
p,0.02
gmin,2.85
gmin,4.4
gmin,10
gmin,4.75
gmin,4.25
gmin,0.75
gmin,0.9
gmin,2.2
gmin,2.9
p,3
p,4
p,7
p,8
gmin,0.89
p,0.19
p,0.23
p,1.35
p,0.04
gmin,2
p,0.22
p,0.22
p,0.33
p,0.49
p,0.82
p,0.27
p,0.29
gmin,1.1
gmin,1.55
gmin,1.44
p,0.38
p,1.1
gmin,0.52
gmin,0.34
gmin,2.42
gmin,3.06
gmin,5.5
p,1.06
p,0.07
gmin,2.58
gmin,1.45
gmin,2.4
gmin,1.65
gmin,0.75
gmin,3
gmin,5.5
gmin,1.25
gmin,1.8
gmin,3.35
gmin,0.38
gmin,1.35
gmin,4.5
gmin,2.8
gmin,1.3
gmin,2.25
p,0.15
p,0.55
p,0.63
p,1.7
p,1.73
p,2.7
p,3
p,3.1
p,5.6
gmin,1.6
gmin,4.57
p,0.1
p,0.23
gmin,0.3
gmin,1.67
gmin,0.36
p,0.06
p,0.16
gmin,3.83
gmin,8.38
gmin,3.63
gmin,2.15
gmin,6.28
gmin,0.92
p,0.19
p,0.34
p,0.68
gmin,1.49
gmin,2.1
gmin,2.18
gmin,2.52
gmin,2.65
gmin,3.06
gmin,3.77
gmin,4.64
p,0.22
p,0.22
gmin,2.12
p,0.91
gmin,6.93
gmin,5.09
gmin,7.13
gmin,4.89
gmin,5.71
gmin,2.85
gmin,3
gmin,3.7
gmin,3.75
gmin,3.8
gmin,3.87
gmin,3.9
gmin,4.1
gmin,4.69
gmin,4.69
gmin,4.69
gmin,4.69
gmin,4.69
gmin,5.09
gmin,5.09
gmin,5.3
gmin,5.5
gmin,5.5
gmin,5.5
gmin,5.71
gmin,5.71
gmin,5.71
gmin,5.91
gmin,5.91
gmin,5.91
gmin,5.91
gmin,5.91
gmin,5.91
gmin,5.91
gmin,5.91
gmin,5.91
gmin,6.11
gmin,6.11
gmin,6.11
gmin,6.11
gmin,6.11
gmin,6.11
gmin,6.32
gmin,6.32
gmin,6.32
gmin,6.32
gmin,6.52
gmin,6.52
gmin,6.52
gmin,6.52
gmin,6.72
gmin,6.72
gmin,6.72
gmin,6.93
gmin,7.13
gmin,7.13
gmin,7.13
gmin,7.13
gmin,7.13
gmin,7.13
gmin,7.13
gmin,7.13
gmin,7.34
gmin,7.34
gmin,7.34
gmin,7.54
gmin,8.15
gmin,8.97
gmin,9.17
gmin,9.58
gmin,9.58
gmin,4.28
gmin,5.09
gmin,1.63
gmin,2.04
gmin,3.87
gmin,0.22
p,0.08
p,0.1
p,0.1
p,0.11
p,0.14
p,0.26
gmin,0.25
gmin,0.29
gmin,4.07
gmin,4.18
gmin,6.5
gmin,9.15
gmin,11.5
gmin,10
gmin,9.5
p,0.8
gmin,2.11
gmin,2.79
p,1.75
gmin,8.28
gmin,8.63
gmin,9.37
gmin,10.96
p,0.25
gmin,0.28
p,0.79
p,0.8
p,1.71
gmin,6
p,0.71
p,0.76
p,0.54
p,0.73
p,1.25
gmin,1.94
p,1.94
p,0.56
p,2.1
gmin,1.4
gmin,1.55
p,0.05
p,0.08
p,0.08
p,1
p,0.12
p,0.12
p,0.71
p,0.91
gmin,0.87
p,0.05
p,0.22
p,0.85
p,0.04
p,0.17
gmin,5.8
gmin,6.05
gmin,6.95
gmin,6.35
gmin,8.1
gmin,8.1
gmin,8.2
gmin,8.6
p,0.18
p,0.12
p,0.05
p,0.04
gmin,0.6
gmin,0.64
gmin,0.69
gmin,0.7
gmin,0.88
gmin,0.88
gmin,0.9
gmin,0.9
gmin,0.9
gmin,0.92
gmin,1.75
gmin,1.93
gmin,3.18
gmin,6.3
gmin,0.93
gmin,1.18
gmin,1.99
gmin,3.81
gmin,0.24
gmin,0.3
gmin,0.36
gmin,0.7
gmin,0.7
gmin,0.72
gmin,1.35
gmin,5.1
gmin,8.26
gmin,9.18
gmin,11.72
gmin,3.77
gmin,3.31
p,0.24
p,4.69
gmin,3.23
p,5.43
gmin,0.75
gmin,1.59
p,0.19
p,0.23
p,0.31
p,0.44
p,0.45
p,0.45
p,0.89
gmin,0.42
gmin,3.1
p,0.4
p,1.45
gmin,0.86
gmin,2.29
gmin,1.33
p,2.14
gmin,2.34
gmin,1.1
gmin,1.5
gmin,2.89
gmin,2.18
gmin,1.4
gmin,0.19
gmin,0.15
gmin,2.59
gmin,3.31
gmin,2.94
p,0.07
gmin,2.32
p,0.11
p,0.07
gmin,1.34
gmin,4.66
p,0.75
p,0.82
p,0.61
p,0.05
p,0.97
p,1.09
gmin,1.01
gmin,1.13
gmin,1.74
gmin,2.31
p,0.09
gmin,1.98
gmin,2.17
gmin,2.28
gmin,2.29
gmin,2.31
gmin,2.32
gmin,2.83
gmin,2.91
p,0.03
p,0.05
gmin,4.9
p,0.21
gmin,2.5
gmin,2.6
gmin,3
gmin,3.5
gmin,3.7
gmin,3.95
gmin,4
gmin,4.1
gmin,4.15
gmin,4.8
gmin,5.2
gmin,5.3
gmin,4
p,0.38
p,2.31
p,2.5
p,0.01
